输入验证码输入验证码2
输入验证码2011-12-08 16:52:12.679280	1 fetions sent
2011-12-08 18:36:03.435141	1 fetions sent
2011-12-08 22:09:02.515914	/home/doukao/www/fetion.lock locked
2011-12-09 21:10:02.324817	/home/doukao/www/fetion.lock locked
2011-12-09 21:23:01.612193	/home/doukao/www/fetion.lock locked
2011-12-09 21:44:14.151685	2 fetions sent
2011-12-09 21:54:18.072544	2 fetions sent
2011-12-09 21:57:05.888674	2 fetions sent
2011-12-09 21:58:12.074144	2 fetions sent
2011-12-09 22:03:19.762467	2 fetions sent
2011-12-09 22:10:05.823089	2 fetions sent
2011-12-09 22:13:04.665332	2 fetions sent
2011-12-09 22:23:12.948803	2 fetions sent
2011-12-09 22:24:05.756367	2 fetions sent
2011-12-09 12:54:10.718238	2 fetions sent
2011-12-09 13:20:09.504937	2 fetions sent
2011-12-09 16:03:09.722534	2 fetions sent
2011-12-09 16:08:05.452127	2 fetions sent
2011-12-09 16:10:08.204815	2 fetions sent
2011-12-09 16:44:04.312376	2 fetions sent
2011-12-10 23:17:02.038813	/home/doukao/www/fetion.lock locked
2011-12-11 11:56:04.459323	2 fetions sent
2011-12-11 16:00:05.029700	2 fetions sent
2011-12-11 23:38:02.012969	/home/doukao/www/fetion.lock locked
2011-12-12 14:25:05.192992	2 fetions sent
2011-12-12 14:26:04.394861	2 fetions sent
2011-12-12 14:30:09.513135	4 fetions sent
2011-12-12 14:38:08.711968	4 fetions sent
2011-12-12 14:56:07.452624	2 fetions sent
2011-12-12 15:06:05.018864	2 fetions sent
2011-12-12 15:08:04.965085	2 fetions sent
2011-12-12 15:11:05.128508	2 fetions sent
2011-12-12 16:13:05.070613	2 fetions sent
2011-12-12 16:29:05.123639	2 fetions sent
2011-12-12 16:33:04.910862	2 fetions sent
2011-12-12 16:34:05.658865	2 fetions sent
2011-12-12 17:45:05.144379	2 fetions sent
2011-12-13 12:28:06.245521	3 fetions sent
2011-12-13 15:23:07.458822	3 fetions sent
2011-12-13 16:06:06.314225	3 fetions sent
2011-12-13 16:25:09.586843	3 fetions sent
2011-12-13 16:41:05.729241	3 fetions sent
2011-12-13 19:35:02.437634	/home/doukao/www/fetion.lock locked
2011-12-13 21:02:06.257449	3 fetions sent
2011-12-14 12:08:06.156858	3 fetions sent
2011-12-14 12:35:12.995710	3 fetions sent
2011-12-14 12:53:03.684188	1 fetions sent
2011-12-14 13:06:08.629071	3 fetions sent
2011-12-14 13:10:13.564094	3 fetions sent
2011-12-14 13:11:08.417962	3 fetions sent
2011-12-14 13:48:08.829546	3 fetions sent
2011-12-14 18:50:06.227752	3 fetions sent
2011-12-14 18:51:10.572616	3 fetions sent
2011-12-14 18:55:01.860701	/home/doukao/www/fetion.lock locked
2011-12-14 18:58:06.065847	3 fetions sent
2011-12-14 22:30:06.460682	3 fetions sent
2011-12-14 23:01:27.485499	3 fetions sent
2011-12-15 10:14:06.294864	3 fetions sent
2011-12-15 18:52:53.537938	3 fetions sent
2011-12-15 18:53:19.506858	3 fetions sent
2011-12-15 19:18:07.648027	3 fetions sent
2011-12-15 19:33:12.917611	3 fetions sent
2011-12-15 20:49:02.313545	/home/doukao/www/fetion.lock locked
2011-12-15 21:17:02.347190	/home/doukao/www/fetion.lock locked
2011-12-15 21:29:01.404208	/home/doukao/www/fetion.lock locked
2011-12-15 21:45:11.863513	3 fetions sent
2011-12-15 22:25:02.119456	/home/doukao/www/fetion.lock locked
2011-12-15 23:29:08.149872	3 fetions sent
2011-12-15 23:49:09.334952	3 fetions sent
2011-12-16 00:46:06.240551	3 fetions sent
2011-12-16 12:30:11.180479	3 fetions sent
2011-12-16 14:50:14.273451	3 fetions sent
2011-12-16 16:27:09.347777	3 fetions sent
